ID,Week,Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Author,Status,Notes
30,Week 5,Halo and Horns Effect,"John takes consciousness very seriously, especially time management, he thinks being late is the worst thing in the world. There's a new hire named Patty that is five minutes late on her first day. John decides that Patty is incompetent, lazy, and isn't fit to work here. Which faulty decision-making did John use?",Overconfidence Bias,Hindsight Bias,Horns Effect,Escalation of Commitment,C,Easy,Kendall,Approved,
31,Week 5,Group Decision Making,Which of the following is NOT an advantage of group decision-making?,Groupthink,Diversity,Easier Implementation,More enjoyment for group members,A,Easy,Kendall,Approved,
32,Week 6,Trait Theory of Leadership,"Max is new to his job and believes that his manager, Jolene, was born to be a leader. He admires how Jolene is extremely conscientious, extroverted, and strives for a position of power. Max is operating under which theory of leadership?",Behaviroal Approach,Power+Influence Approach,Trait Theory Approach,Contingency Approach,C,Medium,Kendall,Approved,
33,Week 6,Power and Influence Approach,"Ivan is the leader of the accounting branch for a compnay. He has the ability to give his employees salary boosts, he's the most skilled at accounting, and he was recently promoted to CFO. Which of the five bases of power does Ivan NOT posses.",Referent,Reward,Legitimate,Expert,A,Easy,Kendall,Approved,
34,Week 6,Leader-Member Exchange Theory,High-quality leader-member exchange relationships relate to which of the following?,Dissociation,High Turnover Rates,Lower Financial Success,Higher Job Satisfaction,D,Easy,Kendall,Approved,
35,Week 6,Full-Range Leadership Theory,Which of the following scenarios lines up with the Transformational Leadership Theory?,"A CEO pays special attention to the employees only directly beneath him, making them feel special. ","A marketing manager pushes his team to go against the status quo for their next project, and wants everyone's creativity.",A fast-food chain owner gives small bonuses to employees who arrive early and give more effort.,A factory supervisor lets his employees do their job their own way and doesn't interfere. ,B,Hard,Kendall,Approved,
36,Week 6,Substitutes for Leadership Theory,"Sam has been hired at a new job, and all of her co-workers love how their manager is with them every step of the way. However, Sam gets disengaged when their manager is constantly around them, and she feels smothered. Sam would be better off with what style of leadership?",Authentic Leadership,Servant Leadership,Transformational Leadership,Self-Leadership,D,Easy,Kendall,Approved,
37,Week 6,Contingency Theories of Leadership," In Fiedler’s contingency model, a leader who prioritizes relationships and team harmony would MOST likely have:",A high LPC score,A low LPC score,High coercive power,Passive leadership,A,Easy,Cami,Approved,
38,Week 6,Bases of Power in Leadership,Which of the following BEST matches the topic of referent power?, A manager gives employees bonuses for meeting sales goals,Employees admire their leader and want that leader’s approval,A supervisor threatens employees with punishment for poor performance, A leader creates strict schedules and closely monitors tasks,B,Easy,Cami,Approved,
39,Week 6,Substitutes for Leadership Theory,"According to substitutes for leadership theory, what can reduce the need for formal leadership?",Structured jobs and self-managed teams,Increased coercive power, Passive leadership,Low employee skill levels,A,Medium,Cami,Approved,
40,Week 6,Authentic Leadership,Which authentic leadership component involves making ethical decisions based on strong internal values?,Balanced processing,Relational transparency, Internalized moral perspective,Intellectual stimulation,C,Medium,Cami,Approved,
41,Week 6,Servant Leadership,Which of the following BEST matches the topic of servant leadership?,A leader focuses mainly on punishments and rewards,A leader avoids involvement and lets employees solve everything alone,A leader puts followers needs and development ahead of personal success,A leader gains influence through formal authority alone,C,Medium,Cami,Approved,
42,Week 2,Employee Performance and Withdrawal Behaviors,"One employee comes to work sick, has low productivity, and may get others sick. Another employee often misses work, causing disruptions and extra work for coworkers. Which major performance criteria do these situations represent?",Both are absenteeism,"First is absenteeism, second is presenteeism","First is presenteeism, second is absenteeism",Both are presenteeism,C,Medium,Cami,Approved,
43,Week 2,Workplace Revenge and Emotions,"According to the “thermodynamics of revenge” framework, which of the following best describes the cooling down phase?",The employee experiences anger after being treated unfairly,The employee decides whether and how to respond to their anger,The organization changes its rules to justify a decision, The employee is publicly criticized or embarrassed,B,Easy,Cami,Approved,
44,Week 2,Responses to Job Dissatisfaction,"An employee is experiencing job dissatisfaction but chooses to stay at their job while putting in less effort and ignoring responsibilities. According to the exit–voice–loyalty–neglect framework, which type of response is this?"," Voice (active, constructive","Exit (active, destructive)","Loyalty (passive, constructive)","Neglect (passive, destructive)",D,Hard,Cami,Approved,
45,Week 2,Organizational Commitment,"Three employees are experiencing job dissatisfaction, but all remain with the organization for different reasons:

- Employee A stays because they feel emotionally connected to the company.
- Employee B stays because leaving would mean losing good pay and benefits.
- Employee C stays because they feel they should remain loyal to the organization.

Which option correctly matches each employee to their type of organizational commitment?","A = Normative, B = Affective, C = Continuance","A = Affective, B = Continuance, C = Normative","A = Continuance, B = Normative, C = Affective","A = Affective, B = Normative, C = Continuance",B,Hard,Cami,Approved,
46,Week 2,Organizational Justice,"An employee feels their pay is unfair compared to others, but believes the decision process was fair and well explained.

Which type of organizational justice is MOST likely being violated?",Procedural justice,Distributive justice,Interpersonal justice,Informational justice,B,Hard,Cami,Approved,
47,Week 3,Diversity in Organizations," An employee’s personal beliefs, values, and attitudes become known only after working together for some time. These characteristics are examples of:",Surface-level diversity, Deep-level diversity,Hidden diversity,"Identity groups

",B,Medium,Cami,Approved,
48,Week 3,Group Decision-Making Problems,"A team quickly agrees on a decision, and members avoid sharing different opinions to maintain agreement. This situation best represents:",Inclusion,Groupthink,System flexibility, Managing diversity,B,Easy,Cami,Approved,
49,Week 3,Benefits of Workplace Diversity,Which of the following best describes a benefit of diversity in which organizations gain insight into different customer preferences and improve their products?, Cost advantages, Resource acquisition,Marketing,System flexibility,C,Medium,Cami,Approved,
50,Week 3,Dark Personality Traits, An employee believes that any tactic is acceptable if it helps them achieve their goals and manipulates others to get their way. This behavior reflects:,Narcissism,Machiavellianism,Psychopathy,Conscientiousness,B,Medium,Cami,Approved,
51,Week 3,Big Five Personality Traits," Hailey prefers working independently, avoids large social gatherings, and rarely speaks up in meetings. They are not anxious or stressed and simply prefer minimal social interaction. Which personality trait is Hailey most likely low in?", Agreeableness, Neuroticism,Conscientiousness,Extraversion,D,Hard,Cami,Approved,
52,Week 4,Types of Team Interdependence,"A team works together on every section of a project, constantly sharing ideas and giving feedback at each stage. What type of interdependence is this?",Pooled,Sequential,Reciprocal,Outcome,C,Medium,Cami,Approved,
53,Week 4,Process Gain and Process Loss,What is an example of process loss?, A team performs better than expected, A group works faster because of competition,A group makes poor decisions despite skilled members,Individuals become more motivated in a group,C,Hard,Cami,Approved,
54,Week 4,Outcome Interdependence and Team Rewards, A company gives bonuses based on overall team performance instead of individual results. What concept does this represent?,Reciprocal interdependence,Outcome interdependence,Social facilitation,Resource allocation norm,B,Hard,Cami,Approved,
55,Week 4,Stages of Group Development, Which of the following situations BEST represents the performing stage?,Members are unsure about roles and goals,Members argue over leadership and responsibilities,Members work efficiently toward goals,Members celebrate completing the project,C,Medium,Cami,Approved,
56,Week 4,Group Decision-Making Problems, A highly skilled team makes a poor decision because members didn’t speak up and just agreed with each other. What is this an example of?,Process gain,Social facilitation,Process loss,High cohesiveness success,C,Hard,Cami,Approved,
57,Week 5,Decision Making Models, A student chooses the first college that meets their basic needs instead of searching for the best possible option. This reflects:,Rational decision making,Intuitive decision making,Bounded rationality,Escalation,C,Medium,Cami,Approved,
58,Week 5,Attribution Theory,Which of the following is the BEST example of a situational attribution?,“He failed because he’s lazy.”,“She’s late because traffic was terrible.,“He’s rude because that’s his personality.”,“She’s smart because she studies a lot.”,B,Hard,Cami,Approved,
59,Week 5,Perceptual Biases and Errors, Which of the following statements about the halo effect is TRUE?,It occurs when people rely too heavily on the first piece of information they receive, It occurs when a single positive trait influences overall judgment about a person or object,It occurs when people believe they predicted an outcome after it happened,. It occurs when individuals continue investing in a failing decision,B,Medium,Cami,Approved,
60,Week 5,Group Decision Making," During a meeting, one member raises concerns, but others pressure them to stay quiet and support the group’s decision. This is:",Consensus,Rational decision making,Groupthink, Intuition,C,Medium,Cami,Approved,
61,Week 5,Decision-Making Biases and Errors,"A manager keeps investing money into a project even after clear evidence shows it will fail, because they don’t want to waste the resources already spent. This is:",Overconfidence bias,"Anchoring heuristic
",Escalation of commitment,Hindsight bias,C,Hard,Cami,Approved,
62,Week 7,Negotiation and Conflict Management,Which of the following BEST describes distributive bargaining?,Both parties work together for a win-win solution,One party gains only if the other loses something,Conflict is avoided completely,Both parties give up all interests equally,B,Medium,Cami,Approved,
63,Week 7,Conflict Process and Emotions,An employee becomes emotionally frustrated and hostile during a disagreement. This BEST describes:,Perceived conflict,Felt conflict, Collaborating,Clarification and justification,B,Medium,Cami,Approved,
64,Week 7,Functional Conflict in Organizations,"Two coworkers disagree about the best way to complete a project, and the discussion leads to a better final result. According to the interactionist view, this can be functional conflict.",TRUE, FALSE,,,A,Hard,Cami,Approved,
65,Week 7,Cross-Cultural Communication,"A manager clearly explains instructions, repeats key points, and sends written notes afterward to avoid confusion. This is MOST common in a:",High-context culture,Compromising culture, Low-context culture,"Filtering process

",C,Hard,Cami,Approved,
66,Week 7,Barriers to Communication,A team member only notices comments in a meeting that support their own opinion while ignoring opposing ideas. This is an example of:,Filtering,Information overload,Selective perception,Communication apprehension,C,Medium,Cami,Approved,
67,Week 7,The Importance of Context,"A foreign manager sits in on a meeting where the presenter gives very explicit instructions over and over again, not just verbally, but also on a slideshow. The presenter even hands out post meeting notes to make sure everyone understood the meeting. The foreign manager is offended that they're being treated like a child, and thought the meeting wasted time. The foreign manager is likely from which kind of culture?",High Context Culture,Low Context Culture,Negotiation Culture,Communication Culture,A,Medium,Kendall,Approved,
68,Week 7,Barriers to Communication,"Which barrier to effective communication fits the following description? ""Filtering what we see and hear to suit our own needs, often unconciously.""",Filtering,Communication Apprehension,Selective Perception,Lying,C,Medium,Kendall,Approved,
69,Week 7,Views of Conflict,Which type of conflict is alwasy dysfunctional?,Task Conflict,Interpersonal Conflict,Process Conflict,Managed Conflict,B,Easy,Kendall,Approved,
70,Week 7,The Conflict Process,"Joan and Sal are at a bakery and agree to buy one item to split. In their heads, Joan wants a chocolate croissant and Sal wants a lemon bar. Sal states that she wants a lemon bar and Joan immediately decides to agree to a lemon bar because she didn't care about it much and wants to make Sal happy. What conflict handling intention did Joan use?",Competing,Avoiding,Collaborating,Accommodating,D,Medium,Kendall,Approved,
71,Week 7,Five Phases of Negotiation,"When a concession is made during a negotiation, it usually shows what?",Weakness and Depression,Aggressiveness and Moving Backwards,Cooperation and Moving Forwards,Politeness and Good Sportsmanship,C,Medium,Kendall,Approved,
72,Week 8,Motivation Overview ,A student continues studying for a difficult course throughout the semester despite doing poorly on earlier exams because they still want to succeed in the class. Which component of motivation does this BEST represent?,Direction,Intensity,Persistence,Extrinsic motivation,C,Hard,Mason ,Approved,
73,Week 8,Maslow's Hierarchy of Needs,"According to Maslow’s hierarchy of needs, which needs are considered the most basic?",Esteem and self-actualization,"Love, belonging, and respect",Physiological needs and safety/security needs,Creativity and personal growth,C,Medium,Mason ,Approved,
74,Week 8,Flow Theory ,"According to flow theory, which situation is MOST likely to produce a state of flow?",A highly skilled employee performing repetitive and easy work,A worker completing unclear tasks with delayed feedback,A person performing a challenging task that matches their skill level and provides immediate feedback,An employee attempting a task far beyond their current abilities,C,Hard,Mason ,Approved,
75,Week 8,Two-factor Theory ,"According to two-factor theory, which of the following is considered a motivator factor?",Pay ,Work conditions ,Recognition ,Supervision ,C,Easy,Mason ,Approved,
76,Week 8,Self-Determination Theory ,"According to self-determination theory, which of the following basic needs is fulfilled when employees feel they have control and choice over how they complete their work?",Competence ,Relatedness ,Autonomy ,Persistence ,C,Medium,Mason ,Approved,
77,Week 8,Equity Theory ,"According to equity theory, if an employee believes a coworker with the same experience and workload receives higher pay, the employee is MOST likely experiencing:",Intrinsic motivation ,Equity sensitivity ,Perceived inequity ,Self-actualization ,C,Hard,Mason ,Approved,
78,Week 8,Expectancy Theory ,"In expectancy theory, what term describes an employee’s belief that strong performance will lead to rewards or outcomes?",Valence ,Expectancy ,Instrumentality ,Motivational force ,C,Medium,Mason ,Approved,
79,Week 8,Goal-setting Theory ,"According to goal-setting theory, which type of goal is MOST likely to produce the highest level of motivation and performance?",Easy and vague goals ,Difficult but attainable goals ,"Simple ""do your best"" instructions ",Goals assigned without feedback ,B,Hard,Mason ,Approved,
80,Week 8,Self-efficacy ,"According to the material, which method of increasing self-efficacy involves observing similar others successfully complete a task?",Performance accomplishments ,Persuasion,Vicarious experience ,Arousal ,C,Medium,Mason ,Approved,
81,Week 8,Job Characteristics Model ,"According to the Job Characteristics Model, which core job dimension refers to the degree of freedom and independence employees have in scheduling and performing their work?",Task Identity ,Skill variety ,Autonomy ,Task significance ,C,Easy,Mason ,Approved,
82,Week 9,"Affect, Mood, & Emotion ",Which of the following BEST distinguishes emotions from moods according to the material?,Emotions are long-lasting and not directed at a target,Moods are short-term reactions to specific events,"Emotions are discrete, short-duration feelings directed at a particular target","Moods are always either positive or negative, while emotions are not",C,Hard,Mason ,Approved,
83,Week 9,Anger at Work,"According to the dual threshold model of workplace anger, what occurs when anger is expressed in a way that is considered inappropriate?",Suppressed anger ,Expressed anger ,Deviant anger ,Functional anger ,C,Medium,Mason ,Approved,
84,Week 9,Happiness at Work ,"According to the material, happier employees are generally associated with:",Higher turnover intentions and more absences,Lower organizational commitment and weaker performance,"Greater cooperation, stronger performance, and fewer absences",Increased counterproductive workplace behaviors,C,Easy,Mason ,Approved,
85,Week 9,Emotional Labor,Which of the following BEST describes the difference between surface acting and deep acting in emotional labor?,"Surface acting changes internal emotions, while deep acting fakes emotions externally","Surface acting only occurs in service jobs, while deep acting occurs in management roles","Surface acting involves faking emotional expressions, while deep acting involves trying to genuinely feel the required emotions",Surface acting is always less stressful than deep acting,C,Hard,Mason ,Approved,
86,Week 9,Emotional Contagion ,Emotional contagion refers to:,The ability to hide emotions during workplace interactions,The tendency for people to synchronize with and take on others’ emotions,The formal display rules employees must follow in customer service roles,The process of replacing negative emotions with positive ones,B,Medium,Mason ,Approved,
87,Week 9,Stress and Stressors ,A company-wide merger causes employees stress because of major organizational changes and uncertainty. Which category of work stressor does this BEST represent?,Role stressor ,Career-related stressor ,Stressful change process ,Task-related stressor ,C,Hard,Mason ,Approved,
88,Week 9,Shift Work as a Stressor,"According to the material, why can rotating shift work create physiological problems for employees?",It reduces employees’ need for overtime,It disrupts circadian rhythms and makes adjustment more difficult,It eliminates social interaction at work,It makes employees less likely to work weekends,B,Medium,Mason,Approved,
89,Week 9,Felxible Work Arrangments ,Which statement BEST captures the tradeoff of flexible work arrangements described in the material?,Flexible work arrangements consistently reduce stress and improve productivity without major drawbacks,"Flexible work arrangements can increase autonomy and satisfaction, but may also blur work-home boundaries and reduce social interaction",Flexible work arrangements are mostly useful for low-skill workers because they create more predictable schedules,Flexible work arrangements improve team functioning because everyone works on individualized schedules,B,Hard,Mason ,Approved,
90,Week 9,Work-family Conflict ,"Work-family conflict is based on the scarcity hypothesis, which suggests that:",Employees become more productive when work and family demands compete,"Individuals have limited resources such as time, energy, and attention",Family responsibilities are always more stressful than work responsibilities,Organizations can eliminate conflict by offering higher pay,B,Medium,Mason ,Approved,
91,Week 9,The Stigma of Dirty Work ,Which type of taint occurs when workers have direct contact with dirty or dangerous environments?,Social taint,Moral taint ,Physical taint ,Emotional taint,C,Easy,Mason ,Approved,
92,Week 8,Motivation Overview,Which part of motivation refers to how much effort someone chooses to expend?,Direction ,Intensity,Persistence,Ability ,B,Medium,Mason ,Approved,
93,Week 8,Maslow’s Hierarchy of Needs,Which statement BEST reflects a major criticism of Maslow’s hierarchy?,It focuses too much on external rewards,It assumes motivation is always based on punishment avoidance,It lacks strong empirical support for the strict ordering of needs,It ignores physiological needs entirely,C,Hard,Mason ,Approved,
94,Week 8,Flow Theory ,Flow is most closely associated with which experience?,Feeling bored by an easy task,Being “in the zone” and fully immersed in an activity,Avoiding difficult work because of anxiety,Working only for external rewards,B,Easy,Mason ,Approved,
95,Week 8,Two-factor Theory ,"According to two-factor theory, improving hygiene factors mainly helps employees:",Become self-actualized,Avoid dissatisfaction,Develop stronger emotional contagion,Increase task identity,B,Medium,Mason ,Approved,
96,Week 8,Self-Determination Theory ,Which of the following situations would MOST likely undermine intrinsic motivation?,Giving employees autonomy over how they complete their work,Helping employees feel competent through skill development,Forcing someone to perform an enjoyable task only to avoid punishment,Connecting work to employees’ personal values,C,Hard,Mason ,Approved,
97,Week 8,Equity Theory ,"In equity theory, employees compare their own input/outcome ratio to:",Their supervisor’s personality traits,The organization’s mission statement,Another person’s input/outcome ratio,The difficulty of the task itself,C,Medium,Mason ,Approved,
98,Week 8,Expectancy Theory ,"In expectancy theory, “valence” refers to:",Whether effort leads to performance,Whether performance leads to outcomes,How valuable or attractive an outcome is to the employee,How much feedback a person receives,C,Easy,Mason ,Approved,
99,Week 8,Job Characteristics Model ,"Which core job dimension refers to completing a whole, identifiable piece of work from beginning to end?",Skill variety,Task identity ,Task significance,Task feedback ,B,Medium,Mason ,Approved,
100,Week 9,Work-family Conflict ,Why does the origin of work-family conflict matter when predicting outcomes?,Because family-to-work conflict always causes turnover,Because people tend to blame the domain they see as causing the conflict,Because work-to-family conflict only affects physical health,Because the scarcity hypothesis applies only to family responsibilities,B,Hard,Mason ,Approved,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
